cells,UMAP1,UMAP2
cy78_CD45_neg_3_G09_S753_comb,14.409252,7.1172423
cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb,12.802292,3.9991593
cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb,12.60358,2.7902858
cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb,13.063933,4.4806714
Cy71_CD45_D11_S527_comb,11.47885,8.376809
cy80_CD45_neg_D03_S903_comb,11.695732,6.470826
cy78_CD45_neg_1_B08_S500_comb,14.933763,7.244003
cy88_cd45pos_5_C01_S217_comb,13.694465,7.12316
cy81_Bulk_CD45_neg_E09_S153_comb,8.614307,5.3704596
cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb,12.665888,3.1082184
cy78_CD45_neg_3_D07_S715_comb,14.558771,7.563634
cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb,13.414647,2.8899562
cy80_CD45_neg_B01_S877_comb,11.921099,6.3687406
cy82_CD45_pos_1_E08_S536_comb,14.6491375,3.1944752
Cy81_Bulk_CD45_B09_S117_comb,8.821569,5.935333
cy78_CD45_neg_1_A03_S483_comb,14.854721,7.5848517
cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb,12.04134,3.3435965
cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb,13.1436,3.3250403
cy78_CD45_neg_1_F08_S548_comb,12.535956,5.4644184
cy60_1_cd_45_neg_3_C10_S514_comb,15.143221,7.092075
CY88_3_C08_S608_comb,12.4923725,5.256544
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb,12.530239,1.4037261
cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb,11.893447,2.1971188
Cy71_CD45_G09_S561_comb,11.533366,8.2647705
cy80_CD45_neg_C09_S897_comb,12.11485,5.8605165
Cy71_CD45_F11_S551_comb,11.36921,9.312335
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb,12.176424,3.9340835
cy78_CD45_neg_3_D08_S716_comb,14.681714,7.7405267
cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb,13.475646,2.391123
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb,11.603148,2.6085956
cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb,12.560958,4.0157137
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb,12.555144,1.7749388
cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb,13.464267,3.9857442
cy80_CD45_neg_D07_S907_comb,12.039751,6.1442747
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F03_S63_comb,11.775344,1.4050502
cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb,13.643254,4.407478
cy79_p5_CD45_pos_PD1_pos_E02_S626_comb,13.4884,3.1931517
cy80_CD45_neg_A03_S867_comb,11.264707,6.4588904
Cy81_FNA_CD45_B10_S310_comb,8.613387,6.6626143
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H07_S187_comb,12.174631,1.6124665
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B07_S115_comb,13.177237,2.80795
cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb,12.953336,1.8488063
cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb,11.889096,3.3191006
CY88_5_E02_S722_comb,13.253091,6.9274035
cy80_CD45_neg_H09_S957_comb,11.750705,6.4592214
cy53_1_CD45_neg_E12_S348_comb,8.403041,6.3023367
cy80_CD45_neg_H02_S950_comb,11.194148,5.793792
cy78_CD45_neg_2_C05_S605_comb,14.304347,7.3434415
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G04_S172_comb,13.037293,2.8213062
cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb,11.396164,4.643372
cy78_CD45_neg_1_G04_S556_comb,15.182102,7.213386
cy53_1_CD45_neg_H12_S384_comb,8.501508,5.6420794
cy78_CD45_neg_1_D05_S521_comb,13.680176,7.437429
Cy71_CD45_H10_S574_comb,11.698449,8.907346
cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb,12.317243,1.7273672
cy81_Bulk_CD45_neg_C08_S128_comb,7.8052773,6.0534434
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G07_S79_comb,13.045002,2.9860563
cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb,11.814478,3.1064796
cy78_CD45_neg_1_C10_S514_comb,14.65406,7.036507
cy78_CD45_neg_3_D09_S717_comb,12.388691,5.209081
Cy81_Bulk_CD45_C06_S126_comb,7.9876947,6.5074244
cy82_CD45_pos_2_E07_S535_comb,14.734723,2.8589637
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G12_S180_comb,10.782474,7.84419
Cy81_FNA_CD45_H10_S382_comb,8.619418,6.725495
Cy80_II_CD45_B02_S878_comb,11.2708645,7.0600276
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B10_S310_comb,12.408325,3.5757225
cy80_CD45_neg_E01_S913_comb,11.310409,5.7327642
Cy81_FNA_CD45_B11_S311_comb,8.599346,6.737783
cy81_Bulk_CD45_neg_C04_S124_comb,8.740244,5.303381
CY88_3_G07_S655_comb,13.432024,6.7782226
Cy81_Bulk_CD45_B12_S120_comb,9.261424,5.958417
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G03_S75_comb,11.350494,1.2292701
cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb,12.543222,1.7241633
cy78_CD45_neg_3_B08_S692_comb,14.685792,7.0962667
cy78_CD45_neg_3_C09_S705_comb,14.551622,7.702614
cy82_CD45_pos_1_H05_S569_comb,14.975717,2.9481876
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G09_S81_comb,13.3074045,2.2819824
CY88_5_F11_S743_comb,13.547467,6.4884915
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B04_S112_comb,11.516355,1.2756115
cy80_CD45_neg_H03_S951_comb,12.088371,6.1914024
cy78_CD45_neg_1_H02_S566_comb,14.890322,7.6485167
CY88_5_C09_S705_comb,13.354187,6.3717484
cy79_p3_CD45_neg_PDL1_neg_F07_S259_comb,12.044298,3.361714
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C10_S34_comb,12.983339,2.4009852
cy81_Bulk_CD45_neg_B03_S111_comb,8.587201,5.384334
cy81_Bulk_CD45_neg_E08_S152_comb,8.835003,5.135687
cy84_Primary_CD45_neg_G07_S1039_comb,13.954611,5.5975304
cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb,13.3376465,2.8111963
cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb,11.5662775,3.2107449
cy53_1_CD45_neg_D06_S330_comb,8.721369,6.212066
Cy71_CD45_A10_S490_comb,11.7080765,8.622586
cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb,13.339032,2.6833498
Cy80_II_CD45_F12_S936_comb,11.245425,6.458417
cy80_CD45_neg_D10_S910_comb,11.988246,3.8362603
Cy81_Bulk_CD45_B01_S109_comb,8.491261,6.7166977
Cy80_II_CD45_B06_S882_comb,11.5049515,6.7286587
cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb,12.036422,2.3791404
cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb,11.165627,3.4956467
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E11_S59_comb,12.160969,1.8484144
Cy71_CD45_F10_S550_comb,11.200654,8.212976
cy84_Primary_CD45_neg_A03_S963_comb,12.866659,6.5241585
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C07_S127_comb,11.995489,3.4182987
Cy71_CD45_D09_S525_comb,12.25296,8.729818
cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb,11.200858,3.7315726
cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb,12.840003,3.6601777
CY89CORE11_F03_S159_comb,13.335897,3.7909636
CY89FNAQ2_B10_S406_comb,10.624097,5.183417
cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb,12.4510765,1.8024178
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D10_S46_comb,12.253324,1.7820938
Cy80_II_CD45_F07_S931_comb,11.687635,6.9470754
cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb,13.391527,3.938408
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G06_S78_comb,12.014478,1.3082577
CY88_5_B03_S687_comb,13.457209,6.7094197
Cy71_CD45_E10_S538_comb,11.920543,8.606417
cy84_Primary_CD45_neg_E12_S1020_comb,12.826011,4.976934
CY89NEG_A03_S3_comb,14.058088,4.8212504
cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb,9.968071,5.2238054
cy78_CD45_neg_1_F05_S545_comb,13.979764,7.90975
CY88_5_B07_S691_comb,12.892884,6.893869
cy82_CD45_pos_2_F11_S551_comb,14.982979,2.7610908
cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb,13.114672,2.1901133
cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb,12.470907,2.5322185
CY88_5_B01_S685_comb,13.363374,6.9712954
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H02_S374_comb,13.195732,2.8746219
cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb,12.499726,3.0596855
CY89FNAQ2_C01_S409_comb,13.58862,4.759592
Cy80_II_CD45_B12_S888_comb,12.021564,7.049691
cy80_CD45_neg_D09_S909_comb,12.251338,6.6119323
CY89CORE11_G08_S176_comb,14.217622,4.7877975
CY88_3_E10_S634_comb,13.340379,5.7907434
cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb,12.955858,3.2725122
